"Newspaper Club","The Roar is our schools newspaper that shines light on student researched and written topics.","Mr. Williams","IDK Lol","2303"
"Robotics Club","Robotics is a club that builds robots to compete in First Tech Challenge.","Mr. Deere","Thursday","2303"
